ID_kod,Zwolnienie,Bezwzgledny_obowiazek,Uwagi
2,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
3,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
4,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
5,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
6,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
7,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
8,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
9,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
10,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
11,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
12,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
13,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
14,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
15,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
16,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
17,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
18,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
19,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
20,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
21,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
22,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
23,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
24,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
25,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
26,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
27,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
28,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
29,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
30,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
31,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
32,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
33,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
34,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
35,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
36,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
37,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
38,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
39,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
40,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
41,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
42,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
43,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
44,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
45,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
46,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
47,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
48,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
49,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
50,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
51,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
52,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
53,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
54,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
55,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
56,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
57,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
58,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
59,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
60,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
61,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
62,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
63,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
64,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
65,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
66,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
67,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
68,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
69,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
70,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
71,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
72,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
73,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
74,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
75,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
76,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
77,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
78,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
79,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
80,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
81,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
82,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
83,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
84,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
85,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
86,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
87,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
88,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
89,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
90,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
91,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
92,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
93,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
94,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
95,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
96,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
97,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
98,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
99,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
100,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
101,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
102,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
103,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
104,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
105,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
106,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
107,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
108,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
109,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
110,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
111,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
112,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
113,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
114,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
115,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
116,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
117,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
118,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
119,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
120,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
121,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
122,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
123,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
124,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
125,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
126,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
127,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
128,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
129,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
130,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
131,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
132,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
133,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
134,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
135,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
136,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
137,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
138,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
139,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
140,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
141,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
142,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
143,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
144,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
145,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
146,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
147,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
148,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
149,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
150,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
151,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
152,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
153,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
154,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
155,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
156,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
157,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
158,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
159,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
160,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
161,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
162,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
163,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
164,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
165,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
166,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
167,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
168,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
169,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
170,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
171,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
172,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
173,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
174,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
175,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
176,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
177,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
178,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
179,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
180,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
181,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
182,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
183,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
184,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
185,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
186,"Możliwe skorzystanie ze zwolnienia z posiadania kasy fiskalnej ",,
