ID_kod,kod_CN,Nazwa,Sekcja,Dzial
8780,0101,"Konie, osły, muły i osłomuły, żywe",I,1
8781,"0101 21 00","Konie hodowlane czystorasowe",I,1
8782,"0101 29","Konie żywe (z wył. hodowlanych czystorasowych)",I,1
8783,"0101 29 10","Konie do uboju",I,1
8784,"0101 29 90","Konie żywe (z wył. hodowlanych czystorasowych oraz do uboju)",I,1
8785,"0101 30 00","Osły żywe",I,1
8786,"0101 90 00","Muły i osłomuły, żywe",I,1
8787,0102,"Bydło żywe",I,1
8788,"0102 21","Bydło hodowlane czystorasowe",I,1
8789,"0102 21 10","Jałówki (bydło płci żeńskiej, które nigdy nie miało cielaka), hodowlane czystorasowe",I,1
8790,"0102 21 30","Krowy hodowlane czystorasowe (z wył. jałówek)",I,1
8791,"0102 21 90","Bydło hodowlane czystorasowe (z wył. jałówek i krów)",I,1
8792,"0102 29","Bydło żywe (z wył. hodowlanego czyfosfostorasowego)",I,1
8793,"0102 29 05","Bydło żywe z podrodzaju Bibos lub z podrodzaju Poephagus (z wył. hodowlanego czystorasowego)",I,1
8794,"0102 29 10","Bydło domowe żywe o masie <= 80 kg (z wył. hodowlanego czystorasowego)",I,1
8795,"0102 29 21","Bydło domowe o masie > 80 kg, ale <= 160 kg, do uboju",I,1
8796,"0102 29 29","Bydło domowe żywe o masie > 80 kg, ale <= 160 kg (z wył. zwierząt do uboju i hodowlanych czystorasowych)",I,1
8797,"0102 29 41","Bydło domowe o masie > 160 kg, ale <= 300 kg, do uboju",I,1
8798,"0102 29 49","Bydło domowe żywe o masie > 160 kg, ale <= 300 kg (z wył. zwierząt do uboju i zwierząt hodowlanych czystorasowych)",I,1
8799,"0102 29 51","Jałówki (bydło płci żeńskiej, które nigdy nie miało cielaka”, o masie > 300 kg, do uboju",I,1
8800,"0102 29 59","Jałówki żywe (bydło płci żeńskiej, które nigdy nie miało cielaka), o masie > 300 kg (z wył. zwierząt do uboju i zwierząt hodowlanych czystorasowych)",I,1
8801,"0102 29 61","Krowy o masie > 300 kg, do uboju (z wył. jałówek)",I,1
8802,"0102 29 69","Krowy o masie > 300 kg (z wył. zwierząt do uboju, jałówek i zwierząt hodowlanych czystorasowych)",I,1
8803,"0102 29 91","Bydło domowe żywe, o masie > 300 kg, do uboju (z wył. jałówek i krów)",I,1
8804,"0102 29 99","Bydło domowe żywe, o masie > 300 kg (z wył. zwierząt do uboju, jałówek i krów, zwierząt hodowlanych czystorasowych)",I,1
8805,"0102 31 00","Bawoły hodowlane czystorasowe",I,1
8806,"0102 39","Bawoły żywe (z wył. hodowlanych czystorasowych)",I,1
8807,"0102 39 10","Bawoły domowe żywe (z wył. hodowlanych czystorasowych)",I,1
8808,"0102 39 90","Bawoły żywe (z wył. domowych i hodowlanych czystorasowych)",I,1
8809,"0102 90","Bydło żywe (z wył. domowego i bawołów)",I,1
8810,"0102 90 20","Bydło hodowlane czystorasowe  (z wył. domowego i bawołów)",I,1
8811,"0102 90 91","Bydło domowe żywe (z wył. bawołów i zwierząt hodowlanych czystorasowych)",I,1
8812,"0102 90 99","Bydło żywe (z wył. domowego, bawołów i zwierząt hodowlanych czystorasowych)",I,1
8813,0103,"Świnie żywe",I,1
8814,"0103 10 00","Świnie hodowlane czystorasowe",I,1
8815,"0103 91","Świnie żywe, o masie < 50 kg (z wył. hodowlanych czystorasowych)",I,1
8816,"0103 91 10","Świnie domowe, żywe, o masie < 50 kg (z wył. hodowlanych czystorasowych)",I,1
8817,"0103 91 90","Świnie inne niż domowe, żywe, o masie < 50 kg",I,1
8818,"0103 92","Świnie żywe, o masie >= 50 kg (z wył. hodowlanych)",I,1
8819,"0103 92 11","Maciory domowe żywe, mające prosiaki co najmniej raz, o masie >= 160 kg (z wył. hodowlanych czystorasowych)",I,1
8820,"0103 92 19","Świnie domowe żywe, o masie >= 50 kg (z wył. macior mających prosiaki co najmniej raz i o masie >= 160 kg, i hodowlanych czystorasowych)",I,1
8821,"0103 92 90","Świnie żywe inne niż domowe, o masie >= 50 kg",I,1
8822,0104,"Owce i kozy, żywe",I,1
8823,"0104 10","Owce żywe",I,1
8824,"0104 10 10","Owce hodowlane czystorasowe",I,1
8825,"0104 10 30","Jagnięta żywe (do jednego roku życia) (z wył. zwierząt hodowlanych czystorasowych)",I,1
8826,"0104 10 80","Owce żywe (z wył. jagniąt i zwierząt hodowlanych czystorasowych)",I,1
8827,"0104 20","Kozy żywe",I,1
8828,"0104 20 10","Kozy hodowlane czystorasowe",I,1
8829,"0104 20 90","Kozy żywe (z wył. hodowlanych czystorasowych)",I,1
8830,0105,"Drób domowy żywy, to znaczy ptactwo z gatunku Gallus domesticus, kaczki, gęsi, indyki i perliczki",I,1
8831,"0105 11","Ptactwo żywe z gatunku Gallus domesticus, o masie <= 185 g",I,1
