ID_kod,kod_pkwiu,Nazwa,numer_poziomu
1001,10.51.53,Kazeina,6
1002,10.51.53.0,Kazeina,7
1003,10.51.54,"Laktoza i syrop laktozowy",6
1004,10.51.54.0,"Laktoza i syrop laktozowy",7
1005,10.51.55,Serwatka,6
1006,10.51.55.0,Serwatka,7
1007,10.51.56,"Wyroby mleczarskie, gdzie indziej niesklasyfikowane",6
1008,10.51.56.0,"Wyroby mleczarskie, gdzie indziej niesklasyfikowane",7
1009,10.51.9,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ PRZETWORÓW MLECZNYCH I SERÓW",5
1010,10.51.99,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ PRZETWORÓW MLECZNYCH I SERÓW",6
1011,10.51.99.0,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ PRZETWORÓW MLECZNYCH I SERÓW",7
1012,10.52,LODY,4
1013,10.52.1,"LODY ŚMIETANKOWE I POZOSTAŁE LODY JADALNE",5
1014,10.52.10,"LODY ŚMIETANKOWE I POZOSTAŁE LODY JADALNE",6
1015,10.52.10.0,"LODY ŚMIETANKOWE I POZOSTAŁE LODY JADALNE",7
1016,10.52.9,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ LODÓW",5
1017,10.52.99,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ LODÓW",6
1018,10.52.99.0,"USŁUGI PODWYKONAWCÓW ZWIĄZANE Z PRODUKCJĄ LODÓW",7
1019,10.6,"PRODUKTY PRZEMIAŁU ZBÓŻ, SKROBIE I WYROBY SKROBIOWE",3
1020,10.61,"PRODUKTY PRZEMIAŁU ZBÓŻ",4
1021,10.61.1,"RYŻ ŁUSKANY I RYŻ CZĘŚCIOWO LUB CAŁKOWICIE BIELONY LUB ŁAMANY",5
1022,10.61.11,"Ryż łuskany",6
1023,10.61.11.0,"Ryż łuskany",7
1024,10.61.12,"Ryż częściowo lub całkowicie bielony lub łamany",6
1025,10.61.12.0,"Ryż częściowo lub całkowicie bielony lub łamany",7
1026,10.61.2,"MĄKI ZE ZBÓŻ I POZOSTAŁYCH ROŚLIN ORAZ ICH MIESZANKI",5
1027,10.61.21,"Mąka pszenna lub żytnio-pszenna",6
1028,10.61.21.0,"Mąka pszenna lub żytnio-pszenna",7
1029,10.61.22,"Mąka z pozostałych zbóż",6
1030,10.61.22.0,"Mąka z pozostałych zbóż",7
1031,10.61.23,"Mąka i mączka z suszonych części roślin",6
1032,10.61.23.0,"Mąka i mączka z suszonych części roślin",7
1033,10.61.24,"Mieszaniny i ciasta do wytwarzania wyrobów piekarskich",6
1034,10.61.24.0,"Mieszaniny i ciasta do wytwarzania wyrobów piekarskich",7
1035,10.61.3,"KASZE, MĄCZKI I GRANULKI ORAZ POZOSTAŁE WYROBY Z ZIAREN ZBOŻOWYCH",5
1036,10.61.31,"Kasze i mączki z pszenicy",6
1037,10.61.31.0,"Kasze i mączki z pszenicy",7
1038,10.61.32,"Kasze, mączki i granulki zbożowe, gdzie indziej niesklasyfikowane",6
1039,10.61.32.0,"Kasze, mączki i granulki zbożowe, gdzie indziej niesklasyfikowane",7
1040,10.61.33,"Płatki śniadaniowe zbożowe oraz pozostałe wyroby z ziaren zbożowych",6
1041,10.61.33.0,"Płatki śniadaniowe zbożowe oraz pozostałe wyroby z ziaren zbożowych",7
