ID_kod,PKWiU,CN
1,A,
2,01,
3,01.1,
4,01.11,
5,01.11.1,
6,01.11.11,
7,01.11.11.0,
8,01.11.12,
9,01.11.12.0,
10,01.11.2,
11,01.11.20,
12,01.11.20.0,
13,01.11.3,
14,01.11.31,
15,01.11.31.0,
16,01.11.32,
17,01.11.32.0,
18,01.11.33,
19,01.11.33.0,
20,01.11.4,
21,01.11.41,
22,01.11.41.0,
23,01.11.42,
24,01.11.42.0,
25,01.11.43,
26,01.11.43.0,
27,01.11.49,
28,01.11.49.0,
29,01.11.5,
30,01.11.50,
31,01.11.50.0,
32,01.11.6,
33,01.11.61,
34,01.11.61.0,
35,01.11.62,
36,01.11.62.0,
37,01.11.69,
38,01.11.69.0,
39,01.11.7,
40,01.11.71,
41,01.11.71.0,
42,01.11.72,
43,01.11.72.0,
44,01.11.73,
45,01.11.73.0,
46,01.11.74,
47,01.11.74.0,
48,01.11.75,
49,01.11.75.0,
50,01.11.76,
51,01.11.76.0,
52,01.11.77,
53,01.11.77.0,
54,01.11.79,
55,01.11.79.0,
56,01.11.8,
57,01.11.81,
58,01.11.81.0,
59,01.11.82,
60,01.11.82.0,
61,01.11.9,
62,01.11.91,
63,01.11.91.0,
64,01.11.92,
65,01.11.92.0,
66,01.11.93,
67,01.11.93.0,
68,01.11.94,
69,01.11.94.0,
70,01.11.95,
71,01.11.95.0,
72,01.11.96,
73,01.11.96.0,
74,01.11.99,
75,01.11.99.0,
76,01.12,
77,01.12.1,
78,01.12.10,
79,01.12.10.0,
80,01.13,
81,01.13.1,
82,01.13.11,
83,01.13.11.0,
84,01.13.12,
85,01.13.12.0,
86,01.13.13,
87,01.13.13.0,
88,01.13.14,
89,01.13.14.0,
90,01.13.15,
91,01.13.15.0,
92,01.13.16,
93,01.13.16.0,
94,01.13.17,
95,01.13.17.0,
96,01.13.19,
97,01.13.19.0,
98,01.13.2,
99,01.13.21,
100,01.13.21.0,
101,01.13.29,
102,01.13.29.0,
103,01.13.3,
104,01.13.31,
105,01.13.31.0,
106,01.13.32,
107,01.13.32.0,
108,01.13.33,
109,01.13.33.0,
110,01.13.34,
111,01.13.34.0,
112,01.13.39,
113,01.13.39.0,
114,01.13.4,
115,01.13.41,
116,01.13.41.0,
117,01.13.42,
118,01.13.42.0,
119,01.13.43,
120,01.13.43.0,
121,01.13.44,
122,01.13.44.0,
123,01.13.49,
124,01.13.49.0,
125,01.13.5,
126,01.13.51,
127,01.13.51.0,
128,01.13.52,
