ID_psi,Zwolnienie
5335,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5379,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5406,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5407,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5408,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5409,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5410,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5411,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5412,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5413,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5414,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5415,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5416,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5417,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5418,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5419,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5420,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5421,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5422,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5423,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5424,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5425,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5426,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5427,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5428,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5448,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5449,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5450,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
5451,"Brak możliwości skorzystania ze zwolnienia w SSE/PSI"
