ID_kod,PKWiU2015,Kody_CN
1,01.11.11.0,"1001 11 00"
2,01.11.11.0,"1001 19 00"
3,01.11.12.0,"1001 91 10"
4,01.11.12.0,"1001 91 20"
5,01.11.12.0,"1001 91 90"
6,01.11.12.0,"1001 99 00"
7,01.11.20.0,"1005 10 13"
8,01.11.20.0,"1005 10 15"
9,01.11.20.0,"1005 10 18"
10,01.11.20.0,"1005 10 90"
11,01.11.20.0,"1005 90 00"
12,01.11.31.0,"1003 10 00"
13,01.11.31.0,"1003 90 00"
14,01.11.32.0,"1002 10 00"
15,01.11.32.0,"1002 90 00"
16,01.11.33.0,"1004 10 00"
17,01.11.33.0,"1004 90 00"
18,01.11.41.0,"1007 10 10"
19,01.11.41.0,"1007 10 90"
20,01.11.41.0,"1007 90 00"
21,01.11.42.0,"1008 21 00"
22,01.11.42.0,"1008 29 00"
23,01.11.43.0,"1008 60 00"
24,01.11.49.0,"1008 10 00"
25,01.11.49.0,"1008 30 00"
26,01.11.49.0,"1008 40 00"
27,01.11.49.0,"1008 50 00"
28,01.11.49.0,"1008 90 00"
29,01.11.50.0,"1213 00 00"
30,01.11.61.0,"0708 20 00"
31,01.11.62.0,"0708 10 00"
32,01.11.69.0,"0708 90 00"
33,01.11.71.0,"0713 31 00"
34,01.11.71.0,"0713 32 00"
35,01.11.71.0,"0713 33 10"
36,01.11.71.0,"0713 33 90"
37,01.11.71.0,"0713 34 00"
38,01.11.71.0,"0713 39 00"
39,01.11.72.0,"0713 50 00"
40,01.11.73.0,"0713 20 00"
41,01.11.74.0,"0713 40 00"
42,01.11.75.0,"0713 10 10"
43,01.11.75.0,"0713 10 90"
44,01.11.76.0,"0713 35 00"
45,01.11.77.0,"0713 60 00"
46,01.11.79.0,"0713 90 00"
47,01.11.81.0,"1201 10 00"
48,01.11.81.0,"1201 90 00"
49,01.11.82.0,"1202 30 00"
50,01.11.82.0,"1202 41 00"
51,01.11.91.0,"1204 00 10"
52,01.11.91.0,"1204 00 90"
53,01.11.92.0,"1207 50 10"
54,01.11.92.0,"1207 50 90"
55,01.11.93.0,"1205 10 10"
56,01.11.93.0,"1205 10 90"
57,01.11.93.0,"1205 90 00"
58,01.11.94.0,"1207 40 10"
59,01.11.94.0,"1207 40 90"
60,01.11.95.0,"1206 00 10"
61,01.11.95.0,"1206 00 91"
62,01.11.95.0,"1206 00 99"
63,01.11.96.0,"1207 30 00"
64,01.11.99.0,"1207 10 00"
65,01.11.99.0,"1207 60 00"
66,01.11.99.0,"1207 70 00"
67,01.11.99.0,"1207 91 10"
68,01.11.99.0,"1207 91 90"
69,01.11.99.0,"1207 99 20"
70,01.11.99.0,"1207 99 91"
71,01.11.99.0,"1207 99 96"
72,01.12.10.0,"1006 10 10"
73,01.12.10.0,"1006 10 30"
74,01.12.10.0,"1006 10 50"
75,01.12.10.0,"1006 10 71"
76,01.12.10.0,"1006 10 79"
77,01.12.10.0,"1006 10 90"
78,01.13.11.0,"0709 20 00"
79,01.13.12.0,"0704 20 00"
80,01.13.12.0,"0704 90 10"
81,01.13.12.0,"0704 90 90"
82,01.13.13.0,"0704 10 10"
83,01.13.13.0,"0704 10 90"
84,01.13.14.0,"0705 11 00"
85,01.13.14.0,"0705 19 00"
86,01.13.15.0,"0705 21 00"
87,01.13.15.0,"0705 29 00"
88,01.13.16.0,"0709 70 00"
89,01.13.17.0,"0709 91 00"
90,01.13.19.0,"0709 99 10"
91,01.13.19.0,"0709 99 20"
92,01.13.19.0,"0709 99 50"
93,01.13.19.0,"0709 99 90"
94,01.13.21.0,"0807 11 00"
95,01.13.29.0,"0807 19 00"
96,01.13.31.0,"0709 60 10"
97,01.13.31.0,"0709 60 91"
98,01.13.31.0,"0709 60 95"
99,01.13.31.0,"0709 60 99"
100,01.13.32.0,"0707 00 05"
101,01.13.32.0,"0707 00 90"
102,01.13.33.0,"0709 30 00"
103,01.13.34.0,"0702 00 00"
104,01.13.39.0,"0709 60 95"
105,01.13.39.0,"0709 60 99"
106,01.13.39.0,"0709 93 10"
107,01.13.39.0,"0709 93 90"
108,01.13.39.0,"0709 99 40"
109,01.13.39.0,"0709 99 60"
110,01.13.39.0,"0709 99 90"
111,01.13.41.0,"0706 10 00"
112,01.13.42.0,"0703 20 00"
113,01.13.43.0,"0703 10 11"
114,01.13.43.0,"0703 10 19"
115,01.13.43.0,"0703 10 90"
116,01.13.44.0,"0703 90 00"
117,01.13.49.0,"0706 90 10"
118,01.13.49.0,"0706 90 30"
119,01.13.49.0,"0706 90 90"
120,01.13.51.0,"0701 10 00"
121,01.13.51.0,"0701 90 10"
122,01.13.51.0,"0701 90 50"
123,01.13.51.0,"0701 90 90"
124,01.13.52.0,"0714 20 10"
125,01.13.52.0,"0714 20 90"
126,01.13.53.0,"0714 10 00"
127,01.13.54.0,"0714 40 00"
128,01.13.59.0,"0714 30 00"
129,01.13.59.0,"0714 50 00"
130,01.13.59.0,"0714 90 20"
131,01.13.59.0,"0714 90 90"
132,01.13.60.0,"1209 91 30"
133,01.13.60.0,"1209 91 80"
134,01.13.71.0,"1212 91 20"
135,01.13.71.0,"1212 91 80"
136,01.13.72.0,"1209 10 00"
137,01.13.80.0,"0709 51 00"
138,01.13.80.0,"0709 52 00"
139,01.13.80.0,"0709 53 00"
140,01.13.80.0,"0709 54 00"
141,01.13.80.0,"0709 55 00"
142,01.13.80.0,"0709 56 00"
143,01.13.80.0,"0709 59 00"
144,01.13.90.0,"0708 20 00"
145,01.13.90.0,"0709 40 00"
146,01.13.90.0,"0709 99 90"
147,01.13.90.0,"1214 90 90"
148,01.14.10.0,"1212 93 00"
149,01.15.10.0,"2401 10 35"
150,01.15.10.0,"2401 10 60"
151,01.15.10.0,"2401 10 70"
152,01.15.10.0,"2401 10 85"
153,01.15.10.0,"2401 10 95"
154,01.16.11.0,"1207 21 00"
155,01.16.11.0,"1207 29 00"
156,01.16.11.0,"5201 00 10"
157,01.16.11.0,"5201 00 90"
158,01.16.12.0,"5303 10 00"
159,01.16.19.0,"5301 10 00"
160,01.16.19.0,"5302 10 00"
161,01.16.19.0,"5305 00 00"
162,01.19.10.0,"1214 90 10"
163,01.19.10.0,"1214 90 90"
164,01.19.21.0,"0603 11 00"
165,01.19.21.0,"0603 12 00"
166,01.19.21.0,"0603 13 00"
167,01.19.21.0,"0603 14 00"
168,01.19.21.0,"0603 15 00"
169,01.19.21.0,"0603 19 10"
170,01.19.21.0,"0603 19 20"
171,01.19.21.0,"0603 19 70"
172,01.19.21.0,"0603 90 00"
173,01.19.22.0,"1209 30 00"
174,01.19.31.0,"1209 21 00"
175,01.19.31.0,"1209 22 10"
176,01.19.31.0,"1209 22 80"
177,01.19.31.0,"1209 23 11"
178,01.19.31.0,"1209 23 15"
179,01.19.31.0,"1209 23 80"
180,01.19.31.0,"1209 24 00"
181,01.19.31.0,"1209 25 10"
182,01.19.31.0,"1209 25 90"
183,01.19.31.0,"1209 29 45"
184,01.19.31.0,"1209 29 50"
185,01.19.31.0,"1209 29 60"
186,01.19.31.0,"1209 29 80"
187,01.19.39.0,"1212 99 95"
188,01.21.11.0,"0806 10 10"
189,01.21.12.0,"0806 10 90"
190,01.22.11.0,"0804 40 00"
191,01.22.12.0,"0803 10 10"
192,01.22.12.0,"0803 90 10"
193,01.22.13.0,"0804 10 00"
194,01.22.14.0,"0804 20 10"
195,01.22.19.0,"0804 30 00"
196,01.22.19.0,"0804 50 00"
197,01.22.19.0,"0807 20 00"
198,01.22.19.0,"0810 60 00"
199,01.22.19.0,"0810 90 75"
200,01.23.11.0,"0805 40 00"
201,01.23.12.0,"0805 50 10"
202,01.23.12.0,"0805 50 90"
203,01.23.13.0,"0805 10 22"
204,01.23.13.0,"0805 10 24"
205,01.23.13.0,"0805 10 28"
206,01.23.13.0,"0805 10 80"
207,01.23.14.0,"0805 21 10"
208,01.23.14.0,"0805 21 90"
209,01.23.14.0,"0805 22 00"
210,01.23.14.0,"0805 29 00"
211,01.23.19.0,"0805 90 00"
212,01.24.10.0,"0808 10 10"
213,01.24.10.0,"0808 10 80"
214,01.24.21.0,"0808 30 10"
215,01.24.21.0,"0808 30 90"
216,01.24.22.0,"0808 40 00"
217,01.24.23.0,"0809 10 00"
218,01.24.24.0,"0809 21 00"
219,01.24.24.0,"0809 29 00"
220,01.24.25.0,"0809 30 20"
221,01.24.25.0,"0809 30 80"
222,01.24.26.0,"0809 30 20"
223,01.24.26.0,"0809 30 30"
224,01.24.27.0,"0809 40 05"
225,01.24.28.0,"0809 40 90"
226,01.24.29.0,"0810 90 20"
227,01.25.11.0,"0810 50 00"
228,01.25.12.0,"0810 20 10"
229,01.25.12.0,"0810 20 90"
230,01.25.13.0,"0810 10 00"
231,01.25.19.0,"0810 30 10"
232,01.25.19.0,"0810 30 30"
233,01.25.19.0,"0810 30 90"
234,01.25.19.0,"0810 40 10"
235,01.25.19.0,"0810 40 30"
236,01.25.19.0,"0810 40 50"
237,01.25.19.0,"0810 40 90"
238,01.25.20.0,"1209 99 91"
239,01.25.20.0,"1209 99 99"
240,01.25.20.0,"1212 99 49"
241,01.25.31.0,"0802 11 10"
242,01.25.31.0,"0802 11 90"
243,01.25.32.0,"0802 41 00"
244,01.25.33.0,"0802 21 00"
245,01.25.34.0,"0802 51 00"
246,01.25.35.0,"0802 31 00"
247,01.25.39.0,"0801 21 00"
248,01.25.39.0,"0801 31 00"
249,01.25.39.0,"0802 61 00"
250,01.25.39.0,"0802 70 00"
251,01.25.39.0,"0802 80 00"
252,01.25.39.0,"0802 91 00"
253,01.25.39.0,"0802 99 10"
