Dzial,Nazwa
1,"ZWIERZĘTA ŻYWE"
2,"Mięso i podroby jadalne"
3,"RYBY I SKORUPIAKI, MIĘCZAKI I POZOSTAŁE BEZKRĘGOWCE WODNE"
4,"PRODUKTY MLECZARSKIE; JAJA PTASIE; MIÓD NATURALNY; JADALNE PRODUKTY POCHODZENIA ZWIERZĘCEGO, GDZIE INDZIEJ NIEWYMIENIONE ANI NIEWŁĄCZONE"
5,"PRODUKTY POCHODZENIA ZWIERZĘCEGO, GDZIE INDZIEJ NIEWYMIENIONE ANI NIEWŁĄCZONE"
6,"DRZEWA ŻYWE I POZOSTAŁE ROŚLINY; BULWY, KORZENIE I PODOBNE; KWIATY CIĘTE I LIŚCIE OZDOBNE"
7,"WARZYWA ORAZ NIEKTÓRE KORZENIE I BULWY, JADALNE"
8,"OWOCE I ORZECHY JADALNE; SKÓRKI OWOCÓW CYTRUSOWYCH LUB MELONÓW"
9,"KAWA, HERBATA, MATÉ (HERBATA PARAGWAJSKA) I PRZYPRAWY"
10,ZBOŻA
11,"PRODUKTY PRZEMYSŁU MŁYNARSKIEGO; SŁÓD; SKROBIE; INULINA; GLUTEN PSZENNY"
12,"NASIONA I OWOCE OLEISTE; ZIARNA, NASIONA I OWOCE RÓŻNE; ROŚLINY PRZEMYSŁOWE LUB LECZNICZE; SŁOMA I PASZA"
13,"SZELAK; GUMY, ŻYWICE ORAZ POZOSTAŁE SOKI I EKSTRAKTY ROŚLINNE"
14,"MATERIAŁY ROŚLINNE DO WYPLATANIA; PRODUKTY POCHODZENIA ROŚLINNEGO, GDZIE INDZIEJ NIEWYMIENIONE ANI NIEWŁĄCZONE"
15,"TŁUSZCZE I OLEJE POCHODZENIA ZWIERZĘCEGO, ROŚLINNEGO LUB MIKROBIOLOGICZNEGO ORAZ PRODUKTY ICH ROZKŁADU; GOTOWE TŁUSZCZE JADALNE; WOSKI POCHODZENIA ZWIERZĘCEGO LUB ROŚLINNEGO"
16,"PRZETWORY Z MIĘSA, RYB, SKORUPIAKÓW, MIĘCZAKÓW LUB POZOSTAŁYCH BEZKRĘGOWCÓW WODNYCHI LUB Z OWADÓW"
17,"CUKRY I WYROBY CUKIERNICZE"
18,"KAKAO I PRZETWORY Z KAKAO"
19,"PRZETWORY ZE ZBÓŻ, MĄKI, SKROBI LUB MLEKA; PIECZYWA CUKIERNICZE"
20,"PRZETWORY Z WARZYW, OWOCÓW, ORZECHÓW LUB POZOSTAŁYCH CZĘŚCI ROŚLIN"
21,"RÓŻNE PRZETWORY SPOŻYWCZE"
22,"NAPOJE BEZALKOHOLOWE, ALKOHOLOWE I OCET"
23,"POZOSTAŁOŚCI I ODPADY PRZEMYSŁU SPOŻYWCZEGO; GOTOWA KARMA DLA ZWIERZĄT"
24,"TYTOŃ I PRZEMYSŁOWE NAMIASTKI TYTONIU; PRODUKTY, NAWET ZAWIERAJĄCE NIKOTYNĘ, PRZEZNACZONE DO WDYCHANIA BEZ SPALANIA; POZOSTAŁE WYROBY ZAWIERAJĄCE NIKOTYNĘ PRZEZNACZONE DO WPROWADZANIA NIKOTYNY DO CIAŁA LUDZKIEGO"
25,"SÓL; SIARKA; ZIEMIE I KAMIENIE; MATERIAŁY GIPSOWE, WAPNO I CEMENT"
26,"RUDY METALI, ŻUŻEL I POPIÓŁ"
27,"PALIWA MINERALNE, OLEJE MINERALNE I PRODUKTY ICH DESTYLACJI; SUBSTANCJE BITUMICZNE; WOSKI MINERALNE"
