ID_kod,Zwolnienie,Split_payment,Uwagi
569,,"Obowiązkowy mechanizm podzielonej płatności",
574,,"Obowiązkowy mechanizm podzielonej płatności",
911,,"Obowiązkowy mechanizm podzielonej płatności",
912,,"Obowiązkowy mechanizm podzielonej płatności",
913,,"Obowiązkowy mechanizm podzielonej płatności",
914,,"Obowiązkowy mechanizm podzielonej płatności",
915,,"Obowiązkowy mechanizm podzielonej płatności",
916,,"Obowiązkowy mechanizm podzielonej płatności",
917,,"Obowiązkowy mechanizm podzielonej płatności",
918,,"Obowiązkowy mechanizm podzielonej płatności",
919,,"Obowiązkowy mechanizm podzielonej płatności",
920,,"Obowiązkowy mechanizm podzielonej płatności",
921,,"Obowiązkowy mechanizm podzielonej płatności",
922,,"Obowiązkowy mechanizm podzielonej płatności",
923,,"Obowiązkowy mechanizm podzielonej płatności",
924,,"Obowiązkowy mechanizm podzielonej płatności",
925,,"Obowiązkowy mechanizm podzielonej płatności",
926,,"Obowiązkowy mechanizm podzielonej płatności",
927,,"Obowiązkowy mechanizm podzielonej płatności",
928,,"Obowiązkowy mechanizm podzielonej płatności",
929,,"Obowiązkowy mechanizm podzielonej płatności",
930,,"Obowiązkowy mechanizm podzielonej płatności",
931,,"Obowiązkowy mechanizm podzielonej płatności",
932,,"Obowiązkowy mechanizm podzielonej płatności",
933,,"Obowiązkowy mechanizm podzielonej płatności",
934,,"Obowiązkowy mechanizm podzielonej płatności",
935,,"Obowiązkowy mechanizm podzielonej płatności",
936,,"Obowiązkowy mechanizm podzielonej płatności",
937,,"Obowiązkowy mechanizm podzielonej płatności",
938,,"Obowiązkowy mechanizm podzielonej płatności",
939,,"Obowiązkowy mechanizm podzielonej płatności",
940,,"Obowiązkowy mechanizm podzielonej płatności",
941,,"Obowiązkowy mechanizm podzielonej płatności",
942,,"Obowiązkowy mechanizm podzielonej płatności",
943,,"Obowiązkowy mechanizm podzielonej płatności",
944,,"Obowiązkowy mechanizm podzielonej płatności",
945,,"Obowiązkowy mechanizm podzielonej płatności",
946,,"Obowiązkowy mechanizm podzielonej płatności",
947,,"Obowiązkowy mechanizm podzielonej płatności",
948,,"Obowiązkowy mechanizm podzielonej płatności",
949,,"Obowiązkowy mechanizm podzielonej płatności",
950,,"Obowiązkowy mechanizm podzielonej płatności",
951,,"Obowiązkowy mechanizm podzielonej płatności",
952,,"Obowiązkowy mechanizm podzielonej płatności",
953,,"Obowiązkowy mechanizm podzielonej płatności",
954,,"Obowiązkowy mechanizm podzielonej płatności",
955,,"Obowiązkowy mechanizm podzielonej płatności",
956,,"Obowiązkowy mechanizm podzielonej płatności",
957,,"Obowiązkowy mechanizm podzielonej płatności",
958,,"Obowiązkowy mechanizm podzielonej płatności",
959,,"Obowiązkowy mechanizm podzielonej płatności",
960,,"Obowiązkowy mechanizm podzielonej płatności",
961,,"Obowiązkowy mechanizm podzielonej płatności",
962,,"Obowiązkowy mechanizm podzielonej płatności",
963,,"Obowiązkowy mechanizm podzielonej płatności",
964,,"Obowiązkowy mechanizm podzielonej płatności",
965,,"Obowiązkowy mechanizm podzielonej płatności",
966,,"Obowiązkowy mechanizm podzielonej płatności",
967,,"Obowiązkowy mechanizm podzielonej płatności",
968,,"Obowiązkowy mechanizm podzielonej płatności",
969,,"Obowiązkowy mechanizm podzielonej płatności",
970,,"Obowiązkowy mechanizm podzielonej płatności",
971,,"Obowiązkowy mechanizm podzielonej płatności",
972,,"Obowiązkowy mechanizm podzielonej płatności",
973,,"Obowiązkowy mechanizm podzielonej płatności",
974,,"Obowiązkowy mechanizm podzielonej płatności",
975,,"Obowiązkowy mechanizm podzielonej płatności",
976,,"Obowiązkowy mechanizm podzielonej płatności",
977,,"Obowiązkowy mechanizm podzielonej płatności",
2065,,"Obowiązkowy mechanizm podzielonej płatności",
2079,,"Obowiązkowy mechanizm podzielonej płatności",
2081,,"Obowiązkowy mechanizm podzielonej płatności",
2505,,"Obowiązkowy mechanizm podzielonej płatności",
2511,,"Obowiązkowy mechanizm podzielonej płatności",
2684,,"Obowiązkowy mechanizm podzielonej płatności",
3022,,"Obowiązkowy mechanizm podzielonej płatności",
3026,,"Obowiązkowy mechanizm podzielonej płatności",
3036,,"Obowiązkowy mechanizm podzielonej płatności",
